사용단어	가중치	사용횟수	단어승률
가게	96	100	0.96
가격	100	100	1.0
가구	85	100	0.85
가까이	90	100	0.9
가난	100	100	1.0
가능	47	100	0.47
가능성	84	100	0.84
가로	50	100	0.5
가로등	84	100	0.84
가로수	91	100	0.91
가루	100	100	1.0
가르침	66	100	0.66
가뭄	100	100	1.0
가방	91	100	0.91
가사	80	100	0.8
가상	89	100	0.89
가수	90	100	0.9
가스	84	100	0.84
가슴	100	100	1.0
가슴속	98	100	0.98
가요	88	100	0.88
가운데	100	100	1.0
가위	68	100	0.68
가을	100	100	1.0
가이드	100	100	1.0
가입	77	100	0.77
가입자	81	100	0.81
가장	79	100	0.79
가정	100	100	1.0
가정교사	78	100	0.78
가족	100	100	1.0
가죽	100	100	1.0
가지	92	100	0.92
가짜	99	100	0.99
가치	69	100	0.69
가치관	73	100	0.73
가톨릭	100	100	1.0
각각	100	100	1.0
각국	95	100	0.95
각오	85	100	0.85
각자	89	100	0.89
각종	68	100	0.68
간격	100	100	1.0
간부	87	100	0.87
간섭	100	100	1.0
간식	79	100	0.79
간장	77	100	0.77
간접	68	100	0.68
간접적	80	100	0.8
간판	100	100	1.0
간호	77	100	0.77
간호사	72	100	0.72
갈등	80	100	0.8
갈비	95	100	0.95
갈비탕	100	100	1.0
갈색	39	100	0.39
갈증	96	100	0.96
감각	100	100	1.0
감기	77	100	0.77
감독	86	100	0.86
감동	92	100	0.92
감동적	80	100	0.8
감사	74	100	0.74
감상	89	100	0.89
감소	90	100	0.9
감수성	84	100	0.84
감옥	100	100	1.0
감자	83	100	0.83
감정	98	100	0.98
감정적	77	100	0.77
강남	80	100	0.8
강당	100	100	1.0
강도	86	100	0.86
강물	92	100	0.92
강변	98	100	0.98
강북	70	100	0.7
강사	79	100	0.79
강수량	100	100	1.0
강아지	88	100	0.88
강원도	81	100	0.81
강의	95	100	0.95
강제	99	100	0.99
강조	88	100	0.88
갖가지	85	100	0.85
개개인	82	100	0.82
개구리	54	100	0.54
개나리	57	100	0.57
개미	79	100	0.79
개방	88	100	0.88
개별	100	100	1.0
개선	92	100	0.92
개성	82	100	0.82
개인	83	100	0.83
개인적	82	100	0.82
객관적	76	100	0.76
거리	55	100	0.55
거실	78	100	0.78
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	53	100	0.53
거품	100	100	1.0
걱정	100	100	1.0
건강	93	100	0.93
건너	100	100	1.0
건너편	100	100	1.0
건넌방	88	100	0.88
건물	88	100	0.88
건설	77	100	0.77
건조	84	100	0.84
건축	100	100	1.0
걷기	80	100	0.8
걸음	81	100	0.81
검사	81	100	0.81
검은색	45	100	0.45
검정색	44	100	0.44
검토	75	100	0.75
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	84	100	0.84
견해	97	100	0.97
결과	100	100	1.0
결과적	75	100	0.75
결국	98	100	0.98
결론	100	100	1.0
결석	100	100	1.0
결승	95	100	0.95
결심	84	100	0.84
결정	99	100	0.99
결혼	100	100	1.0
결혼식	79	100	0.79
경계	66	100	0.66
경고	73	100	0.73
경기	86	100	0.86
경기도	89	100	0.89
경기장	78	100	0.78
경력	100	100	1.0
경복궁	100	100	1.0
경비	83	100	0.83
경상도	84	100	0.84
경영	74	100	0.74
경우	88	100	0.88
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	100	100	1.0
경제력	100	100	1.0
경제적	85	100	0.85
경제학	75	100	0.75
경주	93	100	0.93
경찰	100	100	1.0
경찰관	61	100	0.61
경찰서	77	100	0.77
경치	75	100	0.75
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	92	100	0.92
계란	100	100	1.0
계산	91	100	0.91
계산기	79	100	0.79
계약	78	100	0.78
계절	96	100	0.96
계좌	98	100	0.98
계층	100	100	1.0
계획	100	100	1.0
고개	96	100	0.96
고객	100	100	1.0
고교	96	100	0.96
고구려	100	100	1.0
고구마	70	100	0.7
고궁	100	100	1.0
고급	100	100	1.0
고기	86	100	0.86
고등학교	96	100	0.96
고등학생	95	100	0.95
고려	100	100	1.0
고모	83	100	0.83
고모부	92	100	0.92
고무신	94	100	0.94
고민	91	100	0.91
고생	89	100	0.89
고속	99	100	0.99
고속도로	61	100	0.61
고속버스	80	100	0.8
고양이	79	100	0.79
고장	80	100	0.8
고전	95	100	0.95
고집	100	100	1.0
고추	67	100	0.67
고추장	83	100	0.83
고춧가루	100	100	1.0
고통	98	100	0.98
고함	100	100	1.0
고향	100	100	1.0
곡식	83	100	0.83
골목	67	100	0.67
골목길	100	100	1.0
골짜기	84	100	0.84
골치	67	100	0.67
골프	76	100	0.76
골프장	73	100	0.73
곳곳	100	100	1.0
공간	72	100	0.72
공개	97	100	0.97
공격	100	100	1.0
공공	94	100	0.94
공군	100	100	1.0
공급	100	100	1.0
공기	93	100	0.93
공동	93	100	0.93
공무원	81	100	0.81
공부	89	100	0.89
공사	82	100	0.82
공식	87	100	0.87
공식적	82	100	0.82
공업	100	100	1.0
공연	91	100	0.91
공연장	71	100	0.71
공원	83	100	0.83
공장	74	100	0.74
공주	93	100	0.93
공중	92	100	0.92
공중전화	100	100	1.0
공짜	96	100	0.96
공책	98	100	0.98
공통	98	100	0.98
공통적	86	100	0.86
공통점	75	100	0.75
공포	83	100	0.83
공항	100	100	1.0
공항버스	87	100	0.87
공해	98	100	0.98
공휴일	93	100	0.93
과거	83	100	0.83
과목	69	100	0.69
과외	86	100	0.86
과일	90	100	0.9
과자	83	100	0.83
과장	76	100	0.76
과정	100	100	1.0
과제	100	100	1.0
과학	91	100	0.91
과학자	85	100	0.85
과학적	76	100	0.76
관객	100	100	1.0
관계	66	100	0.66
관계자	86	100	0.86
관광	100	100	1.0
관광객	100	100	1.0
관광버스	86	100	0.86
관광지	91	100	0.91
관념	100	100	1.0
관람	100	100	1.0
관람객	100	100	1.0
관련	100	100	1.0
관리	55	100	0.55
관습	100	100	1.0
관심	86	100	0.86
관심사	86	100	0.86
관점	75	100	0.75
관찰	100	100	1.0
광경	65	100	0.65
광고	82	100	0.82
광장	82	100	0.82
광주	96	100	0.96
괴로움	91	100	0.91
교과서	83	100	0.83
교내	82	100	0.82
교대	86	100	0.86
교류	100	100	1.0
교문	91	100	0.91
교복	93	100	0.93
교사	77	100	0.77
교수	91	100	0.91
교실	78	100	0.78
교양	80	100	0.8
교외	82	100	0.82
교육	97	100	0.97
교육비	85	100	0.85
교육자	76	100	0.76
교장	75	100	0.75
교재	80	100	0.8
교직	99	100	0.99
교체	74	100	0.74
교통	94	100	0.94
교통사고	79	100	0.79
교포	93	100	0.93
교환	65	100	0.65
교회	100	100	1.0
교훈	0	100	0.0
구경	70	100	0.7
구두	55	100	0.55
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	82	100	0.82
구석	100	100	1.0
구석구석	100	100	1.0
구성	76	100	0.76
구속	96	100	0.96
구역	100	100	1.0
구월	41	100	0.41
구입	84	100	0.84
구조	81	100	0.81
