사용단어	가중치	사용횟수	단어승률
가게	10	10	1.0
가격	10	10	1.0
가구	9	10	0.9
가까이	9	10	0.9
가난	10	10	1.0
가능	5	10	0.5
가능성	9	10	0.9
가로	9	10	0.9
가로등	7	10	0.7
가로수	9	10	0.9
가루	10	10	1.0
가르침	8	10	0.8
가뭄	10	10	1.0
가방	9	10	0.9
가사	9	10	0.9
가상	10	10	1.0
가수	10	10	1.0
가스	8	10	0.8
가슴	10	10	1.0
가슴속	10	10	1.0
가요	10	10	1.0
가운데	10	10	1.0
가위	7	10	0.7
가을	10	10	1.0
가이드	10	10	1.0
가입	9	10	0.9
가입자	9	10	0.9
가장	9	10	0.9
가정	10	10	1.0
가정교사	10	10	1.0
가족	10	10	1.0
가죽	10	10	1.0
가지	8	10	0.8
가짜	10	10	1.0
가치	4	10	0.4
가치관	9	10	0.9
가톨릭	10	10	1.0
각각	10	10	1.0
각국	9	10	0.9
각오	8	10	0.8
각자	9	10	0.9
각종	8	10	0.8
간격	10	10	1.0
간부	7	10	0.7
간섭	10	10	1.0
간식	7	10	0.7
간장	8	10	0.8
간접	8	10	0.8
간접적	9	10	0.9
간판	10	10	1.0
간호	9	10	0.9
간호사	7	10	0.7
갈등	8	10	0.8
갈비	10	10	1.0
갈비탕	10	10	1.0
갈색	3	10	0.3
갈증	10	10	1.0
감각	10	10	1.0
감기	10	10	1.0
감독	7	10	0.7
감동	9	10	0.9
감동적	5	10	0.5
감사	8	10	0.8
감상	8	10	0.8
감소	8	10	0.8
감수성	7	10	0.7
감옥	10	10	1.0
감자	7	10	0.7
감정	10	10	1.0
감정적	6	10	0.6
강남	10	10	1.0
강당	10	10	1.0
강도	7	10	0.7
강물	8	10	0.8
강변	10	10	1.0
강북	8	10	0.8
강사	9	10	0.9
강수량	10	10	1.0
강아지	9	10	0.9
강원도	8	10	0.8
강의	9	10	0.9
강제	10	10	1.0
강조	9	10	0.9
갖가지	9	10	0.9
개개인	9	10	0.9
개구리	8	10	0.8
개나리	6	10	0.6
개미	9	10	0.9
개방	9	10	0.9
개별	10	10	1.0
개선	10	10	1.0
개성	4	10	0.4
개인	9	10	0.9
개인적	10	10	1.0
객관적	8	10	0.8
거리	5	10	0.5
거실	9	10	0.9
거액	10	10	1.0
거울	10	10	1.0
거짓	10	10	1.0
거짓말	7	10	0.7
거품	10	10	1.0
걱정	10	10	1.0
건강	10	10	1.0
건너	10	10	1.0
건너편	10	10	1.0
건넌방	10	10	1.0
건물	8	10	0.8
건설	4	10	0.4
건조	10	10	1.0
건축	10	10	1.0
걷기	8	10	0.8
걸음	10	10	1.0
검사	5	10	0.5
검은색	6	10	0.6
검정색	5	10	0.5
검토	7	10	0.7
게시판	10	10	1.0
게임	10	10	1.0
겨울	10	10	1.0
겨울철	10	10	1.0
겨자	9	10	0.9
견해	10	10	1.0
결과	10	10	1.0
결과적	8	10	0.8
결국	10	10	1.0
결론	10	10	1.0
결석	10	10	1.0
결승	10	10	1.0
결심	9	10	0.9
결정	10	10	1.0
결혼	10	10	1.0
결혼식	8	10	0.8
경계	8	10	0.8
경고	7	10	0.7
경기	7	10	0.7
경기도	8	10	0.8
경기장	6	10	0.6
경력	10	10	1.0
경복궁	10	10	1.0
경비	9	10	0.9
경상도	7	10	0.7
경영	9	10	0.9
경우	9	10	0.9
경쟁	10	10	1.0
경쟁력	10	10	1.0
경제	10	10	1.0
경제력	10	10	1.0
경제적	9	10	0.9
경제학	8	10	0.8
경주	9	10	0.9
경찰	10	10	1.0
경찰관	8	10	0.8
경찰서	9	10	0.9
경치	8	10	0.8
경향	10	10	1.0
경험	10	10	1.0
계곡	10	10	1.0
계단	9	10	0.9
계란	10	10	1.0
계산	10	10	1.0
계산기	9	10	0.9
계약	9	10	0.9
계절	10	10	1.0
계좌	9	10	0.9
계층	10	10	1.0
계획	10	10	1.0
고개	10	10	1.0
고객	10	10	1.0
고교	10	10	1.0
고구려	10	10	1.0
고구마	8	10	0.8
고궁	10	10	1.0
고급	10	10	1.0
고기	9	10	0.9
고등학교	10	10	1.0
고등학생	8	10	0.8
고려	10	10	1.0
고모	8	10	0.8
고모부	10	10	1.0
고무신	10	10	1.0
고민	8	10	0.8
고생	9	10	0.9
고속	8	10	0.8
고속도로	6	10	0.6
고속버스	10	10	1.0
고양이	9	10	0.9
고장	9	10	0.9
고전	10	10	1.0
고집	10	10	1.0
고추	8	10	0.8
고추장	8	10	0.8
고춧가루	10	10	1.0
고통	10	10	1.0
고함	10	10	1.0
고향	10	10	1.0
곡식	9	10	0.9
골목	5	10	0.5
골목길	10	10	1.0
골짜기	6	10	0.6
골치	10	10	1.0
골프	7	10	0.7
골프장	7	10	0.7
곳곳	10	10	1.0
공간	6	10	0.6
공개	10	10	1.0
공격	10	10	1.0
공공	9	10	0.9
공군	10	10	1.0
공급	10	10	1.0
공기	9	10	0.9
공동	7	10	0.7
공무원	7	10	0.7
공부	10	10	1.0
공사	8	10	0.8
공식	8	10	0.8
공식적	5	10	0.5
공업	10	10	1.0
공연	10	10	1.0
공연장	7	10	0.7
공원	9	10	0.9
공장	9	10	0.9
공주	9	10	0.9
공중	8	10	0.8
공중전화	10	10	1.0
공짜	10	10	1.0
공책	10	10	1.0
공통	10	10	1.0
공통적	10	10	1.0
공통점	9	10	0.9
공포	9	10	0.9
공항	10	10	1.0
공항버스	8	10	0.8
공해	10	10	1.0
공휴일	9	10	0.9
과거	7	10	0.7
과목	7	10	0.7
과외	6	10	0.6
과일	8	10	0.8
과자	7	10	0.7
과장	8	10	0.8
과정	10	10	1.0
과제	10	10	1.0
과학	9	10	0.9
과학자	9	10	0.9
과학적	8	10	0.8
관객	10	10	1.0
관계	7	10	0.7
관계자	8	10	0.8
관광	10	10	1.0
관광객	10	10	1.0
관광버스	9	10	0.9
관광지	9	10	0.9
관념	10	10	1.0
관람	10	10	1.0
관람객	10	10	1.0
관련	10	10	1.0
관리	7	10	0.7
관습	10	10	1.0
관심	9	10	0.9
관심사	9	10	0.9
관점	9	10	0.9
관찰	10	10	1.0
광경	6	10	0.6
광고	7	10	0.7
광장	8	10	0.8
광주	10	10	1.0
괴로움	9	10	0.9
교과서	7	10	0.7
교내	9	10	0.9
교대	9	10	0.9
교류	10	10	1.0
교문	10	10	1.0
교복	10	10	1.0
교사	6	10	0.6
교수	10	10	1.0
교실	6	10	0.6
교양	8	10	0.8
교외	9	10	0.9
교육	10	10	1.0
교육비	10	10	1.0
교육자	8	10	0.8
교장	6	10	0.6
교재	8	10	0.8
교직	10	10	1.0
교체	9	10	0.9
교통	10	10	1.0
교통사고	8	10	0.8
교포	8	10	0.8
교환	6	10	0.6
교회	10	10	1.0
